player,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received
Rasmus Nissen,DF,Denmark,25,1997,2.5,204.0,7.0,34.0,97.0,74.0,4.0,204.0,1.0,5.0,20.0,3.0,3.0,131.0,13.0
Raúl Jiménez,FW,Mexico,31,1991,0.7,37.0,1.0,3.0,16.0,18.0,3.0,37.0,0.0,0.0,,2.0,0.0,24.0,4.0
Remo Freuler,MF,Switzerland,30,1992,3.6,197.0,6.0,48.0,109.0,41.0,4.0,197.0,0.0,4.0,0.0,12.0,0.0,124.0,5.0
Renato Steffen,FW,Switzerland,31,1991,0.4,19.0,2.0,8.0,7.0,4.0,0.0,19.0,0.0,0.0,,1.0,2.0,8.0,0.0
Ricardo Horta,FW,Portugal,28,1994,1.3,55.0,1.0,8.0,17.0,30.0,6.0,55.0,0.0,0.0,,2.0,0.0,37.0,7.0
Ricardo Rodríguez,DF,Switzerland,30,1992,4.0,247.0,12.0,89.0,120.0,40.0,2.0,247.0,0.0,0.0,,2.0,3.0,158.0,6.0
Richarlison,FW,Brazil,25,1997,3.6,97.0,4.0,12.0,29.0,58.0,19.0,97.0,0.0,5.0,0.0,12.0,3.0,59.0,18.0
Richie Laryea,DF,Canada,27,1995,1.8,73.0,8.0,22.0,25.0,28.0,10.0,73.0,2.0,6.0,33.3,4.0,1.0,42.0,7.0
Riley McGree,FW,Australia,24,1998,2.9,107.0,2.0,16.0,53.0,39.0,4.0,107.0,0.0,1.0,0.0,8.0,2.0,62.0,9.0
Ritsu Doan,FW,Japan,24,1998,2.4,95.0,3.0,15.0,37.0,43.0,6.0,95.0,4.0,8.0,50.0,7.0,3.0,50.0,4.0
Riyadh Sharahili,MF,Saudi Arabia,29,1993,0.6,28.0,6.0,11.0,16.0,2.0,0.0,28.0,1.0,2.0,50.0,1.0,1.0,10.0,0.0
Roan Wilson,MF,Costa Rica,20,2002,0.0,8.0,1.0,3.0,5.0,0.0,0.0,8.0,0.0,0.0,,0.0,0.0,5.0,1.0
Robert Lewandowski,FW,Poland,34,1988,4.0,153.0,9.0,13.0,73.0,69.0,19.0,151.0,5.0,12.0,41.7,16.0,6.0,113.0,14.0
Robert Skov,DF,Denmark,26,1996,0.2,24.0,0.0,3.0,6.0,15.0,1.0,24.0,0.0,1.0,0.0,0.0,0.0,17.0,3.0
Roberto Alvarado,FW,Mexico,24,1998,0.2,12.0,0.0,0.0,5.0,7.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0
Rodri,DF,Spain,26,1996,4.3,710.0,28.0,157.0,518.0,35.0,3.0,710.0,0.0,0.0,,0.0,0.0,598.0,2.0
Rodrigo Bentancur,MF,Uruguay,25,1997,2.4,197.0,7.0,54.0,125.0,25.0,2.0,197.0,3.0,6.0,50.0,6.0,3.0,118.0,0.0
Rodrigo De Paul,MF,Argentina,28,1994,6.7,625.0,4.0,80.0,371.0,179.0,12.0,625.0,1.0,9.0,11.1,9.0,7.0,481.0,15.0
Rodrygo,MF,Brazil,21,2001,2.0,152.0,3.0,10.0,63.0,80.0,15.0,152.0,2.0,9.0,22.2,9.0,3.0,106.0,14.0
Rogelio Funes Mori,FW,Mexico,31,1991,0.1,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,,0.0,0.0,3.0,0.0
Romain Saïss,DF,Morocco,32,1990,5.2,248.0,51.0,164.0,84.0,3.0,1.0,248.0,1.0,2.0,50.0,0.0,0.0,138.0,0.0
Romario Ibarra,MF,Ecuador,28,1994,0.8,23.0,1.0,4.0,13.0,7.0,2.0,23.0,1.0,1.0,100.0,3.0,1.0,14.0,4.0
Romelu Lukaku,FW,Belgium,29,1993,0.6,16.0,1.0,2.0,5.0,9.0,6.0,16.0,1.0,1.0,100.0,1.0,1.0,12.0,6.0
Roozbeh Cheshmi,DF,IR Iran,29,1993,0.6,19.0,4.0,13.0,5.0,1.0,0.0,19.0,0.0,0.0,,1.0,0.0,4.0,0.0
Ruben Vargas,FW,Switzerland,24,1998,3.2,140.0,4.0,17.0,46.0,79.0,9.0,140.0,1.0,7.0,14.3,6.0,1.0,99.0,18.0
Rubin Colwill,MF,Wales,20,2002,0.1,6.0,1.0,1.0,3.0,2.0,0.0,6.0,0.0,0.0,,0.0,0.0,3.0,0.0
Ró-Ró,DF,Qatar,32,1990,2.9,134.0,9.0,50.0,63.0,21.0,3.0,134.0,2.0,4.0,50.0,4.0,2.0,84.0,4.0
Rónald Matarrita,DF,Costa Rica,28,1994,0.3,30.0,0.0,12.0,15.0,4.0,1.0,30.0,1.0,1.0,100.0,1.0,0.0,22.0,0.0
Rúben Dias,DF,Portugal,25,1997,4.0,293.0,24.0,144.0,147.0,3.0,2.0,293.0,0.0,0.0,,2.0,1.0,216.0,0.0
Rúben Neves,MF,Portugal,25,1997,3.0,275.0,7.0,68.0,173.0,34.0,1.0,275.0,0.0,0.0,,1.0,1.0,220.0,1.0
Saad Al Sheeb,GK,Qatar,32,1990,1.0,22.0,21.0,22.0,0.0,0.0,0.0,22.0,0.0,0.0,,0.0,0.0,8.0,0.0
Sadegh Moharrami,DF,IR Iran,26,1996,1.0,32.0,5.0,12.0,12.0,8.0,1.0,32.0,1.0,1.0,100.0,0.0,2.0,14.0,1.0
Saeid Ezatolahi,MF,IR Iran,26,1996,2.4,115.0,6.0,33.0,66.0,20.0,1.0,115.0,0.0,1.0,0.0,5.0,0.0,62.0,1.0
Saleh Al-Shehri,FW,Saudi Arabia,29,1993,2.5,73.0,2.0,5.0,37.0,32.0,12.0,73.0,0.0,2.0,0.0,8.0,1.0,39.0,9.0
Salem Al-Dawsari,MF,Saudi Arabia,31,1991,3.0,146.0,1.0,20.0,63.0,68.0,13.0,145.0,2.0,10.0,20.0,13.0,6.0,106.0,17.0
